2.797121, -0.873270, -2.376849, -1.668914, -0.717241, 2.206662, 1.490045, 0.038885, 0.038885
2.796800, -0.872469, -2.376270, -1.668780, -0.716695, 2.205924, 1.489764, 0.038885, 0.038885
2.796479, -0.871667, -2.375691, -1.668645, -0.716149, 2.205186, 1.489484, 0.038886, 0.038886
2.796157, -0.870866, -2.375112, -1.668511, -0.715603, 2.204448, 1.489204, 0.038886, 0.038886
2.795836, -0.870065, -2.374533, -1.668377, -0.715057, 2.203711, 1.488923, 0.038887, 0.038887
2.795515, -0.869263, -2.373954, -1.668243, -0.714511, 2.202973, 1.488643, 0.038888, 0.038888
2.795193, -0.868462, -2.373375, -1.668108, -0.713965, 2.202235, 1.488363, 0.038888, 0.038888
2.794872, -0.867661, -2.372796, -1.667974, -0.713419, 2.201497, 1.488082, 0.038889, 0.038889
2.794551, -0.866859, -2.372217, -1.667840, -0.712873, 2.200760, 1.487802, 0.038889, 0.038889
2.794230, -0.866058, -2.371638, -1.667706, -0.712327, 2.200022, 1.487522, 0.038890, 0.038890
2.793908, -0.865257, -2.371059, -1.667571, -0.711781, 2.199284, 1.487241, 0.038890, 0.038890
2.793587, -0.864455, -2.370480, -1.667437, -0.711235, 2.198546, 1.486961, 0.038891, 0.038891
2.793266, -0.863654, -2.369901, -1.667303, -0.710689, 2.197809, 1.486680, 0.038892, 0.038892
2.792944, -0.862853, -2.369322, -1.667169, -0.710142, 2.197071, 1.486400, 0.038892, 0.038892
2.792623, -0.862052, -2.368743, -1.667034, -0.709596, 2.196333, 1.486120, 0.038893, 0.038893
2.792302, -0.861250, -2.368164, -1.666900, -0.709050, 2.195596, 1.485839, 0.038893, 0.038893
2.791980, -0.860449, -2.367585, -1.666766, -0.708504, 2.194858, 1.485559, 0.038894, 0.038894
2.791659, -0.859648, -2.367006, -1.666632, -0.707958, 2.194120, 1.485279, 0.038894, 0.038894
2.791338, -0.858846, -2.366427, -1.666497, -0.707412, 2.193382, 1.484998, 0.038895, 0.038895
2.791016, -0.858045, -2.365848, -1.666363, -0.706866, 2.192644, 1.484718, 0.038896, 0.038896
2.790695, -0.857244, -2.365269, -1.666229, -0.706320, 2.191907, 1.484438, 0.038896, 0.038896
